timestamp,source,name,symbol,price,1h %,24h %,7d %,market_cap,volume_24h,circulating_supply,status
2025-05-25T03:07:42.566061,coinmarketcap,Bitcoin,BTC,"$108,124.56",0.30%,0.20%,4.59%,"$2.15T$2,145,210,098,382","$45,845,153,637424.62K BTC",19.86M BTC,success
2025-05-25T03:07:42.566061,coinmarketcap,Ethereum,ETH,"$2,510.96",0.44%,1.31%,1.10%,"$302.98B$302,979,964,244","$11,589,479,7734.61M ETH",120.72M ETH,success
2025-05-25T03:07:42.566061,coinmarketcap,Tether,USDT,$1.00,0.01%,0.06%,0.02%,"$152.78B$152,781,825,812","$61,159,943,18361.14B USDT",152.73B USDT,success
2025-05-25T03:07:42.566061,coinmarketcap,XRP,XRP,$2.31,0.25%,0.39%,1.83%,"$136.04B$136,040,132,558","$1,513,370,022652.84M XRP",58.68B XRP,success
2025-05-25T03:07:42.566061,coinmarketcap,BNB,BNB,$666.31,0.35%,0.38%,3.75%,"$93.84B$93,842,931,709","$1,485,344,3502.22M BNB",140.88M BNB,success
2025-05-25T03:07:42.566061,coinmarketcap,Solana,SOL,$172.56,0.51%,1.29%,3.25%,"$89.78B$89,781,121,608","$3,158,481,42118.30M SOL",520.28M SOL,success
2025-05-25T03:07:42.566061,coinmarketcap,USDC,USDC,$0.9998,0.01%,0.05%,0.00%,"$61.72B$61,723,064,401","$7,721,906,9707.72B USDC",61.73B USDC,success
2025-05-25T03:07:42.566061,coinmarketcap,Dogecoin,DOGE,$0.2226,0.29%,2.45%,2.83%,"$33.26B$33,261,103,384","$1,250,898,1825.61B DOGE",149.4B DOGE,success
2025-05-25T03:07:42.566061,coinmarketcap,Cardano,ADA,$0.7417,0.53%,1.65%,0.07%,"$26.21B$26,210,219,977","$595,705,060803.08M ADA",35.33B ADA,success
2025-05-25T03:07:42.566061,coinmarketcap,TRON,TRX,$0.2694,0.09%,1.19%,1.27%,"$25.57B$25,568,323,904","$466,338,2761.73B TRX",94.87B TRX,success
